name,age,height,nationality,current_club,current_market_value,date_highest_market_value,total_transfer_proceeds,apps_season,goals_season,assists_season,played_minutes,wc_winner,cl_winner,days_in_team,days_to_contract_expiry,international_exp,offence,midfield,defence,liga1,liga2,Asia,Africa,America,Europe,goals*mins
Jérôme Boateng,28,192,Germany,bayern munich,40000000,274,27100000,17,0,1,1238,1,1,2109,1530,67,0,0,1,1,0,0,0,0,1,0
Mats Hummels,28,191,Germany,bayern munich,38000000,325,39200000,39,2,3,3049,1,0,295,1530,57,0,0,1,1,0,0,0,0,1,6098
Javi Martínez,28,190,Spain,bayern munich,25000000,1392,46000000,35,1,1,2795,1,1,1697,1530,18,0,0,1,1,0,0,0,0,1,2795
David Alaba,24,180,Austria,bayern munich,40000000,554,150000,41,3,7,3332,0,1,2487,1530,56,0,0,1,1,0,0,0,0,1,9996
Juan Bernat,24,170,Spain,bayern munich,16000000,661,10000000,20,3,3,1322,0,0,1020,799,7,0,0,1,1,0,0,0,0,1,3966
Philipp Lahm,33,170,Germany,bayern munich,11000000,1392,200000,34,2,4,2862,1,1,5409,434,113,0,0,1,1,0,0,0,0,1,5724
Rafinha,31,172,Brazil,bayern munich,5000000,3244,18500000,24,1,3,1364,0,1,2122,434,2,0,0,1,1,0,0,0,1,0,1364
Xabi Alonso,35,183,Spain,bayern munich,3500000,2430,60400000,33,3,1,2556,1,1,967,69,114,0,1,0,1,0,0,0,0,1,7668
Niklas Dorsch,19,175,Germany,bayern munich,200000,274,0,18,2,1,1509,0,0,295,434,2,0,1,0,1,0,0,0,0,1,3018
Thiago,26,174,Spain,bayern munich,40000000,31,25000000,37,7,9,3182,0,1,1378,799,20,0,1,0,1,0,0,0,0,1,22274
Arturo Vidal,29,180,Chile,bayern munich,37000000,1016,54700000,37,8,4,2672,0,0,634,799,87,0,1,0,1,0,0,0,1,0,21376
Renato Sanches,19,176,Portugal,bayern munich,30000000,274,35000000,23,0,0,798,0,0,295,1530,12,0,1,0,1,0,0,0,0,1,0
Joshua Kimmich,22,176,Germany,bayern munich,25000000,74,10500000,35,7,2,1715,0,0,660,1165,13,0,1,0,1,0,0,0,0,1,12005
Fabian Benko,18,180,Croatia,bayern munich,250000,274,0,28,1,1,1695,0,0,295,434,0,0,1,0,1,0,0,0,0,1,1695
Douglas Costa,26,172,Brazil,bayern munich,30000000,554,38000000,31,7,9,1785,0,0,661,1165,18,1,0,0,1,0,0,0,1,0,12495
Franck Ribéry,34,170,France,bayern munich,8000000,2652,30000000,27,4,15,1673,0,1,3583,434,81,1,0,0,1,0,0,0,0,1,6692
Kingsley Coman,20,178,France,bayern munich,20000000,274,7000000,22,2,0,862,0,0,601,69,11,1,0,0,1,0,0,0,0,1,1724
Arjen Robben,33,180,Netherlands,bayern munich,10000000,2472,82300000,32,12,9,2280,0,1,2794,434,89,1,0,0,1,0,0,0,0,1,27360
Thomas Müller,27,186,Germany,bayern munich,60000000,554,0,36,8,15,2610,1,1,2852,1530,85,1,0,0,1,0,0,0,0,1,20880
Robert Lewandowski,28,184,Poland,bayern munich,80000000,74,5150000,41,39,8,3481,0,0,1026,1530,86,1,0,0,1,0,0,0,0,1,135759
Jonathan Tah,21,194,Germany,bayer 04 leverkusen,22000000,74,7500000,23,1,1,2046,0,0,646,1165,3,0,0,1,1,0,0,0,0,1,2046
Ömer Toprak,27,187,Turkey,bayer 04 leverkusen,18000000,274,15000000,30,1,0,2622,0,0,2122,434,26,0,0,1,1,0,0,0,0,1,2622
Aleksandar Dragovic,26,184,Austria,bayer 04 leverkusen,15000000,325,28000000,26,0,2,1872,0,0,242,1530,56,0,0,1,1,0,0,0,0,1,0
Tin Jedvaj,21,184,Croatia,bayer 04 leverkusen,6500000,661,13000000,19,1,0,1438,0,0,823,1165,5,0,0,1,1,0,0,0,0,1,1438
Joel Abu Hanna,19,184,Germany,bayer 04 leverkusen u19,100000,274,0,25,1,0,2031,0,0,661,799,2,0,0,1,0,0,0,0,0,1,2031
Wendell,23,176,Brazil,bayer 04 leverkusen,13000000,554,6500000,33,2,2,2709,0,0,1026,1530,0,0,0,1,1,0,0,0,1,0,5418
Benjamin Henrichs,20,183,Germany,bayer 04 leverkusen,10000000,74,0,33,0,3,2709,0,0,661,1165,2,0,0,1,1,0,0,0,0,1,0
Danny da Costa,23,187,Germany,bayer 04 leverkusen,1500000,274,500000,3,0,0,179,0,0,295,1165,5,0,0,1,1,0,0,0,0,1,0
Roberto Hilbert,32,183,Germany,bayer 04 leverkusen,1000000,3593,1300000,7,0,0,660,0,0,1380,69,8,0,0,1,1,0,0,0,0,1,0
Lars Bender,27,185,Germany,bayer 04 leverkusen,15000000,1165,2500000,12,0,1,823,0,0,2804,799,6,0,1,0,1,0,0,0,0,1,0
Julian Baumgartlinger,29,183,Austria,bayer 04 leverkusen,5000000,325,5300000,26,0,2,1676,0,0,295,1165,53,0,1,0,1,0,0,0,0,1,0
Kevin Kampl,26,178,Slovenia,bayer 04 leverkusen,15000000,191,26250000,35,2,4,3146,0,0,603,1165,24,0,1,0,1,0,0,0,0,1,6292
Charles Aránguiz,28,171,Chile,bayer 04 leverkusen,8000000,274,25870000,31,1,3,2130,0,0,618,1165,55,0,1,0,1,0,0,0,1,0,2130
Vladlen Yurchenko,23,181,Ukraine,bayer 04 leverkusen,500000,374,255000,4,1,0,222,0,0,1026,434,0,0,1,0,1,0,0,0,0,1,222
Karim Bellarabi,27,183,Germany,bayer 04 leverkusen,22000000,274,150000,18,4,5,1259,0,0,2122,1530,11,0,1,0,1,0,0,0,0,1,5036
Julian Brandt,20,183,Germany,bayer 04 leverkusen,20000000,74,350000,36,4,8,2484,0,0,1207,799,5,0,1,0,1,0,0,0,0,1,9936
Hakan Calhanoglu,23,178,Turkey,bayer 04 leverkusen,20000000,74,17000000,22,7,7,1590,0,0,1023,799,26,0,1,0,1,0,0,0,0,1,11130
Kai Havertz,17,186,Germany,bayer 04 leverkusen,5000000,31,0,36,3,6,2226,0,0,295,69,16,0,1,0,1,0,0,0,0,1,6678
Leon Bailey,19,180,Jamaica,bayer 04 leverkusen,12500000,184,14900000,41,8,10,2893,0,0,81,1895,1,1,0,0,1,0,0,0,1,0,23144
Admir Mehmedi,26,183,Switzerland,bayer 04 leverkusen,4000000,1017,17800000,28,4,2,1585,0,0,661,799,50,1,0,0,1,0,0,0,0,1,6340
Chicharito,28,175,Mexico,bayer 04 leverkusen,22000000,191,22500000,33,12,3,2437,0,0,600,434,88,1,0,0,1,0,0,0,1,0,29244
Kevin Volland,24,179,Germany,bayer 04 leverkusen,17000000,1017,20700000,28,8,2,1741,0,0,295,1530,10,1,0,0,1,0,0,0,0,1,13928
Stefan Kießling,33,191,Germany,bayer 04 leverkusen,2000000,1165,6500000,20,1,2,709,0,0,3948,434,6,1,0,0,1,0,0,0,0,1,709
Joel Pohjanpalo,22,185,Finland,bayer 04 leverkusen,1500000,661,500000,10,4,0,211,0,0,1026,799,21,1,0,0,1,0,0,0,0,1,844
Andreas Christensen,21,188,Denmark,borussia mönchengladbach,16000000,74,0,37,4,0,3322,0,0,652,69,10,0,0,1,0,0,0,0,0,1,13288
Jannik Vestergaard,24,199,Denmark,borussia mönchengladbach,10000000,274,15000000,43,3,1,3273,0,0,295,1530,12,0,0,1,0,0,0,0,0,1,9819
Timothée Kolodziejczak,25,185,France,borussia mönchengladbach,7000000,425,13000000,11,0,0,703,0,0,108,1530,15,0,0,1,0,0,0,0,0,1,0
Nico Elvedi,20,188,Switzerland,borussia mönchengladbach,7000000,74,4000000,31,0,0,2672,0,0,661,799,3,0,0,1,0,0,0,0,0,1,0
Marvin Schulz,22,186,Germany,borussia mönchengladbach,500000,432,0,0,0,0,7,0,0,1026,434,7,0,0,1,0,0,0,0,0,1,0
Mamadou Doucouré,18,184,France,borussia mönchengladbach,500000,274,0,0,0,0,11,0,0,295,1530,11,0,0,1,0,0,0,0,0,1,0
Oscar Wendt,31,181,Sweden,borussia mönchengladbach,3500000,432,830000,41,3,2,3562,0,0,2122,434,28,0,0,1,0,0,0,0,0,1,10686
Nico Schulz,24,180,Germany,borussia mönchengladbach,2000000,808,4000000,13,0,0,266,0,0,613,799,14,0,0,1,0,0,0,0,0,1,0
Tony Jantschke,27,177,Germany,borussia mönchengladbach,6000000,661,0,35,0,0,2533,0,0,2852,1530,18,0,0,1,0,0,0,0,0,1,0
Julian Korb,25,177,Germany,borussia mönchengladbach,4000000,432,0,19,1,1,1267,0,0,2122,434,8,0,0,1,0,0,0,0,0,1,1267
Christoph Kramer,26,191,Germany,borussia mönchengladbach,12000000,901,15200000,35,0,4,2812,1,0,295,1530,12,0,1,0,0,0,0,0,0,1,0
Tobias Strobl,26,188,Germany,borussia mönchengladbach,3000000,901,50000,32,0,2,2237,0,0,295,1165,0,0,1,0,0,0,0,0,0,1,0
Tsiy William Ndenge,19,188,Germany,borussia mönchengladbach,100000,661,0,17,2,1,1135,0,0,295,799,4,0,1,0,0,0,0,0,0,1,2270
Mahmoud Dahoud,21,177,Germany,borussia mönchengladbach,15000000,274,12000000,36,3,7,2868,0,0,1391,434,6,0,1,0,0,0,0,0,0,1,8604
Djibril Sow,20,184,Switzerland,borussia mönchengladbach,1000000,661,1500000,15,3,4,1120,0,0,295,1165,1,0,1,0,0,0,0,0,0,1,3360
Patrick Herrmann,26,179,Germany,borussia mönchengladbach,8000000,661,0,27,1,3,1192,0,0,2487,799,2,0,1,0,0,0,0,0,0,1,1192
Ibrahima Traoré,29,172,Guinea,borussia mönchengladbach,5000000,432,50000,17,1,3,1110,0,0,1026,434,33,0,1,0,0,0,0,1,0,0,1110
Jonas Hofmann,24,176,Germany,borussia mönchengladbach,3500000,432,8200000,23,1,3,1493,0,0,477,1165,10,0,1,0,0,0,0,0,0,1,1493
Fabian Johnson,29,183,United States,borussia mönchengladbach,6000000,432,1800000,33,4,4,1940,0,0,1026,434,50,0,1,0,0,0,0,0,1,0,7760
Thorgan Hazard,24,174,Belgium,borussia mönchengladbach,12000000,191,10000000,32,10,7,2192,0,0,661,799,3,0,1,0,0,0,0,0,0,1,21920
László Bénes,19,181,Slovakia,borussia mönchengladbach,1000000,274,2000000,18,2,4,1015,0,0,295,1530,2,0,1,0,0,0,0,0,0,1,2030
Lars Stindl,28,180,Germany,borussia mönchengladbach,13000000,31,3000000,38,16,9,3241,0,0,661,1165,1,1,0,0,0,0,0,0,0,1,51856
Ba-Muaka Simakala,20,180,Germany,borussia mönchengladbach,200000,74,0,21,3,6,1046,0,0,295,799,1,1,0,0,0,0,0,0,0,1,3138
Raffael,32,174,Brazil,borussia mönchengladbach,7000000,1017,19670000,29,12,4,2103,0,0,1391,799,0,1,0,0,0,0,0,0,1,0,25236
André Hahn,26,185,Germany,borussia mönchengladbach,6000000,808,2500000,39,4,2,1842,0,0,1026,434,1,1,0,0,0,0,0,0,0,1,7368
Josip Drmic,24,181,Switzerland,borussia mönchengladbach,4000000,1017,20200000,16,0,4,517,0,0,661,799,25,1,0,0,0,0,0,0,0,1,0
Willi Orban,24,186,Germany,rasenballsport leipzig,6000000,74,2000000,28,3,1,2548,0,0,661,799,2,0,0,1,1,0,0,0,0,1,7644
Dayot Upamecano,18,185,France,rasenballsport leipzig,5000000,121,12200000,29,0,2,2088,0,0,99,1530,6,0,0,1,1,0,0,0,0,1,0
Marvin Compper,31,185,Germany,rasenballsport leipzig,1250000,3013,1000000,23,2,0,1876,0,0,994,69,1,0,0,1,1,0,0,0,0,1,3752
Marcel Halstenberg,25,186,Germany,rasenballsport leipzig,5000000,74,3500000,29,0,3,2617,0,0,600,799,0,0,0,1,1,0,0,0,0,1,0
Bernardo,21,186,Brazil,rasenballsport leipzig,4000000,74,6000000,27,3,0,2372,0,0,237,1530,0,0,0,1,1,0,0,0,1,0,7116
Lukas Klostermann,20,189,Germany,rasenballsport leipzig,3000000,274,1000000,1,0,0,90,0,0,974,1530,6,0,0,1,1,0,0,0,0,1,0
Benno Schmitz,22,182,Germany,rasenballsport leipzig,1750000,31,800000,14,0,1,979,0,0,295,1165,7,0,0,1,1,0,0,0,0,1,0
Ken Gipson,21,178,Germany,rasenballsport leipzig ii,200000,436,0,9,0,0,688,0,0,661,434,0,0,0,1,0,0,0,0,0,1,0
Stefan Ilsanker,27,189,Austria,rasenballsport leipzig,4000000,74,3000000,29,0,1,2391,0,0,661,1165,23,0,1,0,1,0,0,0,0,1,0
Diego Demme,25,170,Germany,rasenballsport leipzig,4000000,74,375000,28,1,4,2542,0,0,1200,1530,0,0,1,0,1,0,0,0,0,1,2542
Rani Khedira,23,188,Germany,rasenballsport leipzig,750000,830,500000,8,0,0,131,0,0,1026,69,0,0,1,0,1,0,0,0,0,1,0
Naby Keïta,22,172,Guinea,rasenballsport leipzig,22000000,31,16500000,27,8,8,2066,0,0,295,1165,18,0,1,0,1,0,0,1,0,0,16528
